,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(4),Corr with student_vol(4),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2010-05,MN,MINNEAPOLIS,2010-05,4.09,"(-93.25764000000001, 44.968348)",55404,57212.6,Improvements_Additions for Apartments_Coops,0.2957715789473684,0.20233944984072846,0.3152057894736842,0.2019489619680824,0.3354642105263158,0.20235931852175693,0.39242105263157895,0.20212256979274668,0.45851421052631586,0.19833723574882903,0.6592468421052632,0.16204143452966072,1.129987894736842,0.1389168993628102,0.147,0.2163767580655897,0.22350000000000003,0.21103407051646175,0.37099999999999994,0.22081878094689747,2.1799999999999997,0.5677767334403937,3.4199999999999995,0.5463436214998171,4.1145,0.40886067753349453,4.286,0.3434406640045871,28389074974.2894,0.06909842355047704,12342273869.2704,0.4980586658817363,94.51558950569391,-0.287841091154725,2.4,-0.14153313002649145,3.7,-0.06212819386454829,-93.25764000000001,44.968348
1,2010-12,MN,MINNEAPOLIS,2010-12,4.37,"(-93.27781800000001, 44.96856)",55403,66816.6,Improvements_Additions for Apartments_Coops,0.24122190476190472,0.20233944984072846,0.25412380952380953,0.2019489619680824,0.26178857142857137,0.20235931852175693,0.28196571428571415,0.20212256979274668,0.30272333333333334,0.19833723574882903,0.4583942857142857,0.16204143452966072,0.7839004761904763,0.1389168993628102,0.0854166666666667,0.2163767580655897,0.19333333333333338,0.21103407051646175,0.2937499999999999,0.22081878094689747,1.9429166666666664,0.5677767334403937,3.2949999999999995,0.5463436214998171,4.173333333333333,0.40886067753349453,4.415,0.3434406640045871,31618591270.7387,0.06909842355047704,15995126134.7035,0.4980586658817363,92.5881563190625,-0.287841091154725,2.5,-0.14153313002649145,2.8,-0.06212819386454829,-93.27781800000001,44.96856
2,2011-01,MN,MINNEAPOLIS,2011-01,4.54,"(-93.249169, 44.969765)",55454,227564.25,Improvements_Additions for Apartments_Coops,0.2391115000000001,0.20233944984072846,0.25406500000000004,0.2019489619680824,0.2606254999999999,0.20235931852175693,0.2827834999999999,0.20212256979274668,0.30341049999999997,0.19833723574882903,0.4554005000000002,0.16204143452966072,0.7818229999999999,0.1389168993628102,0.14099999999999996,0.2163767580655897,0.1815,0.21103407051646175,0.27349999999999997,0.22081878094689747,1.9944999999999997,0.5677767334403937,3.3940000000000006,0.5463436214998171,4.281000000000001,0.40886067753349453,4.5230000000000015,0.3434406640045871,32217867353.4185,0.06909842355047704,13753511368.0623,0.4980586658817363,91.13289228397959,-0.287841091154725,2.4,-0.14153313002649145,2.8,-0.06212819386454829,-93.249169,44.969765
3,2011-11,MN,MINNEAPOLIS,2011-11,3.8,"(-93.2513, 45.0158)",55418,23322.44,Improvements_Additions for Apartments_Coops,0.14255090909090912,0.20233944984072846,0.19244863636363635,0.2019489619680824,0.2536463636363637,0.20235931852175693,0.3593790909090909,0.20212256979274668,0.47529181818181826,0.19833723574882903,0.6805422727272729,0.16204143452966072,1.000305,0.1389168993628102,0.013999999999999999,0.2163767580655897,0.04650000000000002,0.21103407051646175,0.11200000000000002,0.22081878094689747,0.908,0.5677767334403937,2.0134999999999996,0.5463436214998171,2.7180000000000004,0.40886067753349453,3.0155000000000003,0.3434406640045871,35344521679.5642,0.06909842355047704,11251067892.2966,0.4980586658817363,90.0868950067716,-0.287841091154725,2.3,-0.14153313002649145,2.5,-0.06212819386454829,-93.2513,45.0158
4,2012-01,MN,MINNEAPOLIS,2012-01,4.083333333333333,"(-93.4460835, 45.015883)",55405,12897.363333333335,Improvements_Additions for Apartments_Coops,0.14564761904761903,0.20233944984072846,0.2014238095238095,0.2019489619680824,0.28289523809523814,0.20235931852175693,0.41424761904761903,0.20212256979274668,0.5659000000000001,0.19833723574882903,0.7969761904761906,0.16204143452966072,1.1145476190476191,0.1389168993628102,0.0245,0.2163767580655897,0.06550000000000003,0.21103407051646175,0.11500000000000003,0.22081878094689747,0.835,0.5677767334403937,1.9664999999999995,0.5463436214998171,2.6950000000000003,0.40886067753349453,3.026,0.3434406640045871,35532707747.113,0.06909842355047704,12770391029.1034,0.4980586658817363,89.6038877472871,-0.287841091154725,2.0,-0.14153313002649145,2.5,-0.06212819386454829,-93.4460835,45.015883
5,2012-07,MN,MINNEAPOLIS,2012-07,2.84,"(-93.280036, 44.988654)",55401,76442.61499999999,Improvements_Additions for Apartments_Coops,0.16720454545454547,0.20233944984072846,0.19873636363636368,0.2019489619680824,0.24646136363636365,0.20235931852175693,0.34024999999999994,0.20212256979274668,0.4535545454545455,0.19833723574882903,0.7302181818181818,0.16204143452966072,1.0653181818181816,0.1389168993628102,0.06952380952380956,0.2163767580655897,0.14571428571428574,0.21103407051646175,0.18571428571428572,0.22081878094689747,0.6195238095238095,0.5677767334403937,1.5266666666666664,0.5463436214998171,2.217142857142857,0.40886067753349453,2.5900000000000003,0.3434406640045871,37160101000.5239,0.06909842355047704,10740081615.3953,0.4980586658817363,90.2956809830492,-0.287841091154725,2.1,-0.14153313002649145,2.4,-0.06212819386454829,-93.280036,44.988654
6,2012-09,MN,MINNEAPOLIS,2012-09,2.47,"(-93.26807, 44.962317999999996)",55404,11170.06,Improvements_Additions for Apartments_Coops,0.15189500000000006,0.20233944984072846,0.183625,0.2019489619680824,0.22133750000000002,0.20235931852175693,0.3079875,0.20212256979274668,0.3856325000000001,0.19833723574882903,0.6716749999999999,0.16204143452966072,0.9997750000000002,0.1389168993628102,0.07526315789473685,0.2163767580655897,0.13736842105263158,0.21103407051646175,0.17578947368421055,0.22081878094689747,0.6689473684210526,0.5677767334403937,1.7231578947368422,0.5463436214998171,2.488421052631579,0.40886067753349453,2.8815789473684212,0.3434406640045871,37685204803.0042,0.06909842355047704,11154944519.578999,0.4980586658817363,91.578064558499,-0.287841091154725,2.1,-0.14153313002649145,2.3,-0.06212819386454829,-93.26807,44.962317999999996
7,2012-10,MN,MINNEAPOLIS,2012-10,4.39,"(-93.2814, 44.9429)",55408,38399.33,Improvements_Additions for Apartments_Coops,0.15320434782608702,0.20233944984072846,0.17955217391304346,0.2019489619680824,0.21346521739130433,0.20235931852175693,0.2717391304347827,0.20212256979274668,0.3304891304347827,0.19833723574882903,0.5823021739130435,0.16204143452966072,0.9185760869565219,0.1389168993628102,0.10952380952380951,0.2163767580655897,0.14904761904761904,0.21103407051646175,0.17952380952380956,0.22081878094689747,0.7085714285714285,0.5677767334403937,1.7461904761904758,0.5463436214998171,2.505714285714286,0.40886067753349453,2.90047619047619,0.3434406640045871,38410438812.4053,0.06909842355047704,11080080767.5225,0.4980586658817363,88.794109524791,-0.287841091154725,1.9,-0.14153313002649145,2.2,-0.06212819386454829,-93.2814,44.9429
8,2012-11,MN,MINNEAPOLIS,2012-11,2.97,"(-93.275868, 44.96548)",55403,45630.89,Improvements_Additions for Apartments_Coops,0.1555,0.20233944984072846,0.18060909090909089,0.2019489619680824,0.20888636363636362,0.20235931852175693,0.25813636363636355,0.20212256979274668,0.31102272727272723,0.19833723574882903,0.528347727272727,0.16204143452966072,0.8631931818181818,0.1389168993628102,0.12449999999999999,0.2163767580655897,0.14450000000000002,0.21103407051646175,0.17850000000000002,0.22081878094689747,0.665,0.5677767334403937,1.654,0.5463436214998171,2.3894999999999995,0.40886067753349453,2.8034999999999997,0.3434406640045871,38808856509.5085,0.06909842355047704,9855625468.0504,0.4980586658817363,88.920473853359,-0.287841091154725,2.1,-0.14153313002649145,2.2,-0.06212819386454829,-93.275868,44.96548
9,2012-12,MN,MINNEAPOLIS,2012-12,2.75,"(-93.250938, 44.98875)",55414,28942.73,Improvements_Additions for Apartments_Coops,0.1631578947368421,0.20233944984072846,0.1875157894736842,0.2019489619680824,0.21092631578947374,0.20235931852175693,0.2552894736842105,0.20212256979274668,0.30947368421052623,0.19833723574882903,0.5145657894736843,0.16204143452966072,0.8483157894736841,0.1389168993628102,0.039500000000000014,0.2163767580655897,0.11950000000000005,0.21103407051646175,0.1585,0.22081878094689747,0.6960000000000001,0.5677767334403937,1.7189999999999999,0.5463436214998171,2.4675000000000002,0.40886067753349453,2.8835,0.3434406640045871,39268596272.9965,0.06909842355047704,9123117418.53368,0.4980586658817363,86.5850023909696,-0.287841091154725,2.1,-0.14153313002649145,2.1,-0.06212819386454829,-93.250938,44.98875
10,2013-01,MN,MINNEAPOLIS,2013-01,2.8,"(-93.276385, 44.970293)",55403,89706.18,Improvements_Additions for Apartments_Coops,0.16043181818181818,0.20233944984072846,0.17947272727272726,0.2019489619680824,0.20497272727272725,0.20235931852175693,0.2497954545454545,0.20212256979274668,0.30261363636363625,0.19833723574882903,0.48810454545454546,0.16204143452966072,0.8142727272727271,0.1389168993628102,0.05190476190476192,0.2163767580655897,0.10761904761904766,0.21103407051646175,0.14523809523809525,0.22081878094689747,0.8052380952380951,0.5677767334403937,1.9147619047619049,0.5463436214998171,2.681428571428571,0.40886067753349453,3.0804761904761913,0.3434406640045871,39658399389.4891,0.06909842355047704,9498561196.652071,0.4980586658817363,88.29263433660921,-0.287841091154725,2.0,-0.14153313002649145,2.1,-0.06212819386454829,-93.276385,44.970293
11,2013-02,MN,MINNEAPOLIS,2013-02,2.865,"(-93.288721, 44.906056)",55419,17715.315000000002,Improvements_Additions for Apartments_Coops,0.15464999999999998,0.20233944984072846,0.17315,0.2019489619680824,0.20129999999999998,0.20235931852175693,0.2455,0.20212256979274668,0.29049499999999995,0.19833723574882903,0.463425,0.16204143452966072,0.761875,0.1389168993628102,0.0768421052631579,0.2163767580655897,0.12421052631578947,0.21103407051646175,0.15736842105263157,0.22081878094689747,0.8463157894736841,0.5677767334403937,1.9842105263157896,0.5463436214998171,2.782631578947368,0.40886067753349453,3.165263157894737,0.3434406640045871,39298206327.5877,0.06909842355047704,9260696074.4491,0.4980586658817363,89.95115518901541,-0.287841091154725,1.8,-0.14153313002649145,2.1,-0.06212819386454829,-93.288721,44.906056
12,2013-03,MN,MINNEAPOLIS,2013-03,3.35,"(-93.309354, 44.980027)",55405,13628.54,Improvements_Additions for Apartments_Coops,0.15505000000000002,0.20233944984072846,0.17309999999999998,0.2019489619680824,0.20345,0.20235931852175693,0.2419,0.20212256979274668,0.28190000000000004,0.19833723574882903,0.44782500000000003,0.16204143452966072,0.7351250000000001,0.1389168993628102,0.07800000000000003,0.2163767580655897,0.11450000000000005,0.21103407051646175,0.14750000000000002,0.22081878094689747,0.8185000000000002,0.5677767334403937,1.9575,0.5463436214998171,2.7840000000000003,0.40886067753349453,3.1625000000000005,0.3434406640045871,40395555554.9932,0.06909842355047704,8901986132.75728,0.4980586658817363,90.32258801944451,-0.287841091154725,1.7,-0.14153313002649145,2.0,-0.06212819386454829,-93.309354,44.980027
13,2013-04,MN,MINNEAPOLIS,2013-04,3.25,"(-93.28521690000001, 45.0545189)",55411,13225.21,Improvements_Additions for Apartments_Coops,0.1539047619047619,0.20233944984072846,0.17210476190476193,0.2019489619680824,0.19953333333333334,0.20235931852175693,0.24005714285714277,0.20212256979274668,0.27714285714285714,0.19833723574882903,0.4360190476190476,0.16204143452966072,0.7168333333333334,0.1389168993628102,0.049090909090909116,0.2163767580655897,0.09409090909090913,0.21103407051646175,0.12454545454545456,0.22081878094689747,0.7104545454545454,0.5677767334403937,1.7590909090909093,0.5463436214998171,2.5500000000000003,0.40886067753349453,2.9327272727272726,0.3434406640045871,40995097959.5386,0.06909842355047704,10210246554.7955,0.4980586658817363,88.1059676388142,-0.287841091154725,1.8,-0.14153313002649145,1.9,-0.06212819386454829,-93.28521690000001,45.0545189
14,2013-05,MN,MINNEAPOLIS,2013-05,3.15,"(-93.25801700000001, 44.978297999999995)",55418,32977.17,Improvements_Additions for Apartments_Coops,0.1435047619047619,0.20233944984072846,0.1638380952380952,0.2019489619680824,0.19670952380952378,0.20235931852175693,0.23396000000000003,0.20212256979274668,0.27416904761904765,0.19833723574882903,0.42137333333333327,0.16204143452966072,0.6936104761904763,0.1389168993628102,0.020454545454545458,0.2163767580655897,0.08090909090909093,0.21103407051646175,0.11863636363636366,0.22081878094689747,0.840909090909091,0.5677767334403937,1.9281818181818182,0.5463436214998171,2.7286363636363635,0.40886067753349453,3.112727272727273,0.3434406640045871,41507587847.7023,0.06909842355047704,10216278752.7557,0.4980586658817363,86.47441597957871,-0.287841091154725,1.9,-0.14153313002649145,1.8,-0.06212819386454829,-93.25801700000001,44.978297999999995
15,2013-07,MN,MINNEAPOLIS,2013-07,2.92,"(-93.206665, 44.948651)",55406,31342.28,Improvements_Additions for Apartments_Coops,0.12117913043478262,0.20233944984072846,0.15611695652173913,0.2019489619680824,0.19111913043478265,0.20235931852175693,0.232388695652174,0.20212256979274668,0.26758260869565215,0.19833723574882903,0.40307869565217386,0.16204143452966072,0.6838491304347826,0.1389168993628102,0.020909090909090912,0.2163767580655897,0.07363636363636367,0.21103407051646175,0.12181818181818184,0.22081878094689747,1.4031818181818183,0.5677767334403937,2.5822727272727275,0.5463436214998171,3.3072727272727276,0.40886067753349453,3.605,0.3434406640045871,41334062733.8549,0.06909842355047704,10396023519.0372,0.4980586658817363,88.4263020205016,-0.287841091154725,1.8,-0.14153313002649145,1.7,-0.06212819386454829,-93.206665,44.948651
16,2013-08,MN,MINNEAPOLIS,2013-08,3.835,"(-93.2655, 44.9773)",55406,13858.009999999998,Improvements_Additions for Apartments_Coops,0.11782999999999999,0.20233944984072846,0.1493142857142857,0.2019489619680824,0.1840704761904762,0.20235931852175693,0.22633523809523812,0.20212256979274668,0.2633952380952381,0.19833723574882903,0.3949285714285714,0.16204143452966072,0.6679499999999999,0.1389168993628102,0.03681818181818183,0.2163767580655897,0.07181818181818184,0.21103407051646175,0.12681818181818183,0.22081878094689747,1.5204545454545455,0.5677767334403937,2.7372727272727273,0.5463436214998171,3.488181818181818,0.40886067753349453,3.757727272727273,0.3434406640045871,41062625933.5941,0.06909842355047704,9402239044.86975,0.4980586658817363,85.3165844012547,-0.287841091154725,1.6,-0.14153313002649145,1.6,-0.06212819386454829,-93.2655,44.9773
17,2013-12,MN,MINNEAPOLIS,2013-12,4.1025,"(-93.265679, 45.008021)",55418,25850.9175,Improvements_Additions for Apartments_Coops,0.10022500000000001,0.20233944984072846,0.1273025,0.2019489619680824,0.16723,0.20235931852175693,0.2127325,0.20212256979274668,0.24389749999999996,0.19833723574882903,0.34639499999999995,0.16204143452966072,0.579045,0.1389168993628102,0.019047619047619053,0.2163767580655897,0.09523809523809526,0.21103407051646175,0.13285714285714287,0.22081878094689747,1.5761904761904764,0.5677767334403937,2.901904761904762,0.5463436214998171,3.6266666666666674,0.40886067753349453,3.889047619047619,0.3434406640045871,42151687038.4775,0.06909842355047704,11032404366.8063,0.4980586658817363,82.56600445924391,-0.287841091154725,1.8,-0.14153313002649145,1.4,-0.06212819386454829,-93.265679,45.008021
18,2014-01,MN,MINNEAPOLIS,2014-01,4.23,"(-93.241703, 44.963758)",55404,28271.76,Improvements_Additions for Apartments_Coops,0.09003181818181817,0.20233944984072846,0.1219931818181818,0.2019489619680824,0.1597090909090909,0.20235931852175693,0.204425,0.20212256979274668,0.23822954545454544,0.19833723574882903,0.33795909090909093,0.16204143452966072,0.5752999999999999,0.1389168993628102,0.017142857142857144,0.2163767580655897,0.0690476190476191,0.21103407051646175,0.11619047619047623,0.22081878094689747,1.6466666666666665,0.5677767334403937,2.858095238095238,0.5463436214998171,3.521904761904762,0.40886067753349453,3.76904761904762,0.3434406640045871,43204378466.7468,0.06909842355047704,9507943209.106209,0.4980586658817363,82.11515832772571,-0.287841091154725,1.5,-0.14153313002649145,1.4,-0.06212819386454829,-93.241703,44.963758
