,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(2),Corr with student_vol(2),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(1),Corr with mortgage 90(1)
0,CO,DENVER,2010-11,4.0,Refinancing_Purchase of Apartments_Coops,0.22869727272727272,3.7713027272727273,0.18013026727233486,0.24913818181818187,3.7508618181818183,0.18140156381016,0.2541922727272727,3.7458077272727275,0.17374351517459233,0.27004181818181816,3.7299581818181817,0.16224392742369373,0.2871204545454545,3.7128795454545456,0.14670466273977065,0.44597000000000014,3.55403,0.11304192591818274,0.7651345454545454,3.2348654545454547,0.0934298366916462,0.13400000000000004,3.866,0.19794995224182,0.182,3.818,0.17626163724069785,0.25200000000000006,3.7479999999999998,0.16936444565489484,1.35,2.65,0.40884949503844115,2.7630000000000003,1.2369999999999997,0.40170383996727627,3.817999999999999,0.18200000000000083,0.29187880155291873,4.186,-0.18599999999999994,0.2554022604816803,28477062769.4533,0.05247200762259064,11568364841.7538,0.35992953735664934,94.0022251537174,-0.26522633490627684,2.7,0.08007481796616255,2.7,0.06706093186916212
1,CO,DENVER,2011-02,4.89,Refinancing_Purchase of Apartments_Coops,0.23214,4.6578599999999994,0.18013026727233486,0.25165,4.63835,0.18140156381016,0.26292499999999996,4.627075,0.17374351517459233,0.28731249999999997,4.6026875,0.16224392742369373,0.31189999999999996,4.5781,0.14670466273977065,0.46404500000000004,4.425955,0.11304192591818274,0.7933949999999999,4.096605,0.0934298366916462,0.11473684210526319,4.775263157894736,0.19794995224182,0.16842105263157894,4.721578947368421,0.17626163724069785,0.2863157894736842,4.603684210526316,0.16936444565489484,2.257894736842106,2.632105263157894,0.40884949503844115,3.5763157894736834,1.3136842105263162,0.40170383996727627,4.423684210526316,0.4663157894736836,0.29187880155291873,4.652105263157895,0.2378947368421045,0.2554022604816803,30512069858.4251,0.05247200762259064,15995126134.7035,0.35992953735664934,92.5881563190625,-0.26522633490627684,2.9,0.08007481796616255,2.6,0.06706093186916212
2,CO,DENVER,2011-04,4.0,Refinancing_Purchase of Apartments_Coops,0.14759444444444447,3.8524055555555554,0.18013026727233486,0.19237777777777781,3.8076222222222222,0.18140156381016,0.22143500000000005,3.778565,0.17374351517459233,0.25190277777777786,3.748097222222222,0.16224392742369373,0.28138222222222226,3.718617777777778,0.14670466273977065,0.44229888888888896,3.557701111111111,0.11304192591818274,0.7700555555555555,3.2299444444444445,0.0934298366916462,0.029500000000000005,3.9705,0.19794995224182,0.11950000000000002,3.8805,0.17626163724069785,0.24650000000000002,3.7535,0.16936444565489484,2.169,1.831,0.40884949503844115,3.4549999999999996,0.5450000000000004,0.40170383996727627,4.276000000000001,-0.2760000000000007,0.29187880155291873,4.5015,-0.5015000000000001,0.2554022604816803,31044830349.9256,0.05247200762259064,12472473242.0863,0.35992953735664934,90.24550000965358,-0.26522633490627684,2.9,0.08007481796616255,2.5,0.06706093186916212
3,CO,DENVER,2011-07,4.1,Refinancing_Purchase of Apartments_Coops,0.12388095238095237,3.976119047619047,0.18013026727233486,0.1598857142857143,3.9401142857142855,0.18140156381016,0.18661904761904766,3.913380952380952,0.17374351517459233,0.2182333333333334,3.881766666666666,0.16224392742369373,0.24991190476190472,3.850088095238095,0.14670466273977065,0.41392857142857137,3.686071428571428,0.11304192591818274,0.7452261904761905,3.354773809523809,0.0934298366916462,0.037500000000000006,4.0625,0.19794995224182,0.08400000000000002,4.016,0.17626163724069785,0.185,3.9149999999999996,0.16936444565489484,1.541,2.5589999999999997,0.40884949503844115,3.003,1.0969999999999995,0.40170383996727627,3.9475000000000002,0.1524999999999994,0.29187880155291873,4.2705,-0.17050000000000054,0.2554022604816803,31565012894.7234,0.05247200762259064,11655650147.2578,0.35992953735664934,90.4806728327692,-0.26522633490627684,2.4,0.08007481796616255,2.4,0.06706093186916212
4,CO,DENVER,2011-09,3.95,Refinancing_Purchase of Apartments_Coops,0.14525181818181823,3.804748181818182,0.18013026727233486,0.1884,3.7616,0.18140156381016,0.23085045454545455,3.719149545454546,0.17374351517459233,0.2845913636363636,3.6654086363636367,0.16224392742369373,0.3502268181818181,3.599773181818182,0.14670466273977065,0.5222018181818182,3.427798181818182,0.11304192591818274,0.8332045454545454,3.116795454545455,0.0934298366916462,0.005714285714285713,3.9442857142857144,0.19794995224182,0.04333333333333335,3.9066666666666667,0.17626163724069785,0.10476190476190479,3.8452380952380953,0.16936444565489484,0.9004761904761904,3.0495238095238095,0.40884949503844115,1.9752380952380955,1.9747619047619047,0.40170383996727627,2.8271428571428574,1.1228571428571428,0.29187880155291873,3.182380952380953,0.7676190476190472,0.2554022604816803,31041077337.2648,0.05247200762259064,11784187253.6333,0.35992953735664934,90.35087768078328,-0.26522633490627684,2.4,0.08007481796616255,2.5,0.06706093186916212
5,CO,DENVER,2011-10,3.6,Refinancing_Purchase of Apartments_Coops,0.1416352380952381,3.458364761904762,0.18013026727233486,0.19074095238095234,3.409259047619048,0.18140156381016,0.24373904761904758,3.3562609523809526,0.17374351517459233,0.3185252380952381,3.281474761904762,0.16224392742369373,0.4064785714285714,3.1935214285714286,0.14670466273977065,0.59521,3.00479,0.11304192591818274,0.9086428571428572,2.691357142857143,0.0934298366916462,0.013500000000000003,3.5865,0.19794995224182,0.05450000000000003,3.5455,0.17626163724069785,0.1145,3.4855,0.16936444565489484,1.0614999999999999,2.5385,0.40884949503844115,2.1519999999999997,1.4480000000000004,0.40170383996727627,2.8695,0.7305000000000001,0.29187880155291873,3.128,0.472,0.2554022604816803,31300541846.2612,0.05247200762259064,11508699084.1195,0.35992953735664934,90.48744874686929,-0.26522633490627684,2.4,0.08007481796616255,2.3,0.06706093186916212
6,CO,DENVER,2011-12,4.25,Refinancing_Purchase of Apartments_Coops,0.1499335,4.1000665,0.18013026727233486,0.2029985,4.0470015,0.18140156381016,0.2836085,3.9663915,0.17374351517459233,0.40829250000000006,3.8417075,0.16224392742369373,0.5557375,3.6942625,0.14670466273977065,0.7798775000000001,3.4701225,0.11304192591818274,1.1003555000000003,3.1496445,0.0934298366916462,0.0033333333333333335,4.246666666666667,0.19794995224182,0.048571428571428585,4.201428571428571,0.17626163724069785,0.11523809523809528,4.134761904761905,0.16936444565489484,0.8914285714285713,3.3585714285714285,0.40884949503844115,1.9780952380952384,2.2719047619047616,0.40170383996727627,2.6676190476190476,1.5823809523809524,0.29187880155291873,2.9823809523809524,1.2676190476190476,0.2554022604816803,31754785132.2305,0.05247200762259064,10728874885.7875,0.35992953735664934,90.6452366150782,-0.26522633490627684,2.7,0.08007481796616255,2.3,0.06706093186916212
7,CO,DENVER,2012-01,2.92,Refinancing_Purchase of Apartments_Coops,0.14564761904761903,2.774352380952381,0.18013026727233486,0.2014238095238095,2.7185761904761905,0.18140156381016,0.28289523809523814,2.637104761904762,0.17374351517459233,0.41424761904761903,2.505752380952381,0.16224392742369373,0.5659000000000001,2.3541,0.14670466273977065,0.7969761904761906,2.123023809523809,0.11304192591818274,1.1145476190476191,1.8054523809523808,0.0934298366916462,0.0245,2.8954999999999997,0.19794995224182,0.06550000000000003,2.8545,0.17626163724069785,0.11500000000000003,2.8049999999999997,0.16936444565489484,0.835,2.085,0.40884949503844115,1.9664999999999995,0.9535000000000005,0.40170383996727627,2.6950000000000003,0.22499999999999964,0.29187880155291873,3.026,-0.10599999999999987,0.2554022604816803,33690910289.8878,0.05247200762259064,11251067892.2966,0.35992953735664934,90.0868950067716,-0.26522633490627684,2.3,0.08007481796616255,2.2,0.06706093186916212
8,CO,DENVER,2012-08,4.6,Refinancing_Purchase of Apartments_Coops,0.15374090909090915,4.44625909090909,0.18013026727233486,0.18745454545454548,4.412545454545454,0.18140156381016,0.23783863636363634,4.362161363636363,0.17374351517459233,0.3331136363636364,4.266886363636363,0.16224392742369373,0.43259999999999993,4.1674,0.14670466273977065,0.7177749999999997,3.882225,0.11304192591818274,1.0426272727272727,3.557372727272727,0.0934298366916462,0.09217391304347829,4.507826086956522,0.19794995224182,0.14043478260869566,4.459565217391304,0.17626163724069785,0.18347826086956526,4.4165217391304346,0.16936444565489484,0.7139130434782609,3.886086956521739,0.40884949503844115,1.6782608695652175,2.921739130434782,0.40170383996727627,2.3978260869565218,2.202173913043478,0.29187880155291873,2.7708695652173914,1.8291304347826083,0.2554022604816803,36623269866.4569,0.05247200762259064,12022315813.7363,0.35992953735664934,90.37816904639429,-0.26522633490627684,2.3,0.08007481796616255,1.9,0.06706093186916212
9,CO,DENVER,2012-11,2.8049999999999997,Refinancing_Purchase of Apartments_Coops,0.1555,2.6494999999999997,0.18013026727233486,0.18060909090909089,2.6243909090909088,0.18140156381016,0.20888636363636362,2.596113636363636,0.17374351517459233,0.25813636363636355,2.546863636363636,0.16224392742369373,0.31102272727272723,2.4939772727272724,0.14670466273977065,0.528347727272727,2.2766522727272727,0.11304192591818274,0.8631931818181818,1.941806818181818,0.0934298366916462,0.12449999999999999,2.6805,0.19794995224182,0.14450000000000002,2.6605,0.17626163724069785,0.17850000000000002,2.6264999999999996,0.16936444565489484,0.665,2.1399999999999997,0.40884949503844115,1.654,1.1509999999999998,0.40170383996727627,2.3894999999999995,0.4155000000000002,0.29187880155291873,2.8034999999999997,0.0015000000000000568,0.2554022604816803,36601383816.48,0.05247200762259064,11154944519.578999,0.35992953735664934,91.578064558499,-0.26522633490627684,2.2,0.08007481796616255,1.7,0.06706093186916212
10,CO,DENVER,2013-03,2.92,Refinancing_Purchase of Apartments_Coops,0.15505000000000002,2.76495,0.18013026727233486,0.17309999999999998,2.7469,0.18140156381016,0.20345,2.71655,0.17374351517459233,0.2419,2.6780999999999997,0.16224392742369373,0.28190000000000004,2.6380999999999997,0.14670466273977065,0.44782500000000003,2.472175,0.11304192591818274,0.7351250000000001,2.184875,0.0934298366916462,0.07800000000000003,2.842,0.19794995224182,0.11450000000000005,2.8055,0.17626163724069785,0.14750000000000002,2.7725,0.16936444565489484,0.8185000000000002,2.1014999999999997,0.40884949503844115,1.9575,0.9624999999999999,0.40170383996727627,2.7840000000000003,0.13599999999999968,0.29187880155291873,3.1625000000000005,-0.2425000000000006,0.2554022604816803,38410438812.4053,0.05247200762259064,9498561196.652071,0.35992953735664934,88.29263433660921,-0.26522633490627684,2.0,0.08007481796616255,1.5,0.06706093186916212
11,CO,DENVER,2013-09,2.95,Refinancing_Purchase of Apartments_Coops,0.11272380952380952,2.8372761904761905,0.18013026727233486,0.14323238095238094,2.806767619047619,0.18140156381016,0.18057476190476196,2.769425238095238,0.17374351517459233,0.22133904761904755,2.7286609523809524,0.16224392742369373,0.2531785714285715,2.696821428571429,0.14670466273977065,0.38033809523809525,2.569661904761905,0.11304192591818274,0.6526857142857143,2.297314285714286,0.0934298366916462,0.017500000000000005,2.9325,0.19794995224182,0.04150000000000001,2.9085,0.17626163724069785,0.11850000000000002,2.8315,0.16936444565489484,1.5959999999999999,1.3540000000000003,0.40884949503844115,2.8095,0.1405000000000003,0.40170383996727627,3.526,-0.5759999999999996,0.29187880155291873,3.7870000000000004,-0.8370000000000002,0.2554022604816803,40995097959.5386,0.05247200762259064,10396023519.0372,0.35992953735664934,88.4263020205016,-0.26522633490627684,1.7,0.08007481796616255,1.1,0.06706093186916212
12,CO,DENVER,2013-10,3.88,Refinancing_Purchase of Apartments_Coops,0.10426086956521738,3.7757391304347827,0.18013026727233486,0.13668260869565219,3.743317391304348,0.18140156381016,0.17241521739130433,3.7075847826086954,0.17374351517459233,0.21265,3.66735,0.16224392742369373,0.2417652173913043,3.638234782608696,0.14670466273977065,0.36121521739130424,3.5187847826086958,0.11304192591818274,0.6177847826086957,3.2622152173913044,0.0934298366916462,0.1059090909090909,3.774090909090909,0.19794995224182,0.07590909090909094,3.8040909090909087,0.17626163724069785,0.12136363636363635,3.7586363636363633,0.16936444565489484,1.366818181818182,2.5131818181818177,0.40884949503844115,2.615909090909091,1.2640909090909087,0.40170383996727627,3.3795454545454544,0.5004545454545455,0.29187880155291873,3.6759090909090903,0.20409090909090954,0.2554022604816803,41507587847.7023,0.05247200762259064,9402239044.86975,0.35992953735664934,85.3165844012547,-0.26522633490627684,1.8,0.08007481796616255,1.1,0.06706093186916212
13,CO,DENVER,2013-12,4.5,Refinancing_Purchase of Apartments_Coops,0.10022500000000001,4.399775,0.18013026727233486,0.1273025,4.3726975,0.18140156381016,0.16723,4.33277,0.17374351517459233,0.2127325,4.2872675000000005,0.16224392742369373,0.24389749999999996,4.2561025,0.14670466273977065,0.34639499999999995,4.153605,0.11304192591818274,0.579045,3.920955,0.0934298366916462,0.019047619047619053,4.480952380952381,0.19794995224182,0.09523809523809526,4.404761904761905,0.17626163724069785,0.13285714285714287,4.367142857142857,0.16936444565489484,1.5761904761904764,2.9238095238095236,0.40884949503844115,2.901904761904762,1.598095238095238,0.40170383996727627,3.6266666666666674,0.8733333333333326,0.29187880155291873,3.889047619047619,0.6109523809523809,0.2554022604816803,41334062733.8549,0.05247200762259064,10011024566.6146,0.35992953735664934,83.69462947740479,-0.26522633490627684,1.7,0.08007481796616255,1.1,0.06706093186916212
14,CO,DENVER,2014-01,4.08,Refinancing_Purchase of Apartments_Coops,0.09003181818181817,3.989968181818182,0.18013026727233486,0.1219931818181818,3.9580068181818184,0.18140156381016,0.1597090909090909,3.9202909090909093,0.17374351517459233,0.204425,3.875575,0.16224392742369373,0.23822954545454544,3.8417704545454545,0.14670466273977065,0.33795909090909093,3.742040909090909,0.11304192591818274,0.5752999999999999,3.5047,0.0934298366916462,0.017142857142857144,4.062857142857143,0.19794995224182,0.0690476190476191,4.010952380952381,0.17626163724069785,0.11619047619047623,3.9638095238095237,0.16936444565489484,1.6466666666666665,2.4333333333333336,0.40884949503844115,2.858095238095238,1.2219047619047623,0.40170383996727627,3.521904761904762,0.558095238095238,0.29187880155291873,3.76904761904762,0.3109523809523802,0.2554022604816803,41062625933.5941,0.05247200762259064,10653400066.5467,0.35992953735664934,80.910251046009,-0.26522633490627684,1.5,0.08007481796616255,1.0,0.06706093186916212
15,CO,DENVER,2014-03,4.12,Refinancing_Purchase of Apartments_Coops,0.0888,4.0312,0.18013026727233486,0.1207452380952381,3.999254761904762,0.18140156381016,0.15488333333333335,3.965116666666667,0.17374351517459233,0.19711666666666672,3.9228833333333335,0.16224392742369373,0.23409761904761903,3.885902380952381,0.14670466273977065,0.33106666666666673,3.7889333333333335,0.11304192591818274,0.5571428571428573,3.5628571428571427,0.0934298366916462,0.051428571428571455,4.0685714285714285,0.19794995224182,0.07857142857142858,4.041428571428572,0.17626163724069785,0.1280952380952381,3.991904761904762,0.16936444565489484,1.6395238095238096,2.4804761904761907,0.40884949503844115,2.7233333333333327,1.3966666666666674,0.40170383996727627,3.3466666666666667,0.7733333333333334,0.29187880155291873,3.6209523809523807,0.4990476190476194,0.2554022604816803,41658198449.9001,0.05247200762259064,9507943209.106209,0.35992953735664934,82.11515832772571,-0.26522633490627684,1.5,0.08007481796616255,0.9,0.06706093186916212
16,CO,DENVER,2014-06,5.24,Refinancing_Purchase of Apartments_Coops,0.09278571428571428,5.147214285714286,0.18013026727233486,0.12241428571428574,5.117585714285714,0.18140156381016,0.1523738095238095,5.087626190476191,0.17374351517459233,0.19377380952380954,5.04622619047619,0.16224392742369373,0.2309452380952381,5.009054761904762,0.14670466273977065,0.32388809523809525,4.916111904761905,0.11304192591818274,0.5421714285714285,4.6978285714285715,0.0934298366916462,0.024285714285714296,5.215714285714286,0.19794995224182,0.06047619047619051,5.179523809523809,0.17626163724069785,0.10476190476190479,5.135238095238096,0.16936444565489484,1.679047619047619,3.560952380952381,0.40884949503844115,2.5985714285714288,2.6414285714285715,0.40170383996727627,3.1533333333333333,2.086666666666667,0.29187880155291873,3.4199999999999995,1.8200000000000007,0.2554022604816803,43204378466.7468,0.05247200762259064,11117378455.0815,0.35992953735664934,81.06604477988621,-0.26522633490627684,1.4,0.08007481796616255,1.0,0.06706093186916212
